Strategy,Total Return (%),Annual Return (%),Sharpe,Max Drawdown (%),Final Capital,Num Trades
StopLoss-8pct-5d,1958.01,nan,nan,-2695.29,2058007,69367
StopLoss-3pct-5d,783.30,210.89,0.6289,-57.29,883296,11531
StopLoss-3pct-14d,705.46,196.31,0.7891,-57.66,805464,10247
Threshold-2pct-14d,459.60,145.13,0.4181,-60.84,559602,4464
StopLoss-8pct-14d,410.94,41.91,0.0026,-412.92,510944,52487
Momentum-LB20-14d,404.51,132.25,0.3630,-59.14,504512,4430
Confidence-MC20bp-14d,394.77,129.90,0.3557,-59.04,494768,4434
Confidence-MC10bp-5d,363.58,122.24,0.3003,-71.24,463579,4446
TopK-K3-5d,362.17,121.89,0.1666,-78.06,462166,2649
Momentum-LB10-5d,360.27,121.41,0.2981,-71.48,460271,4449
TopK-K3-14d,357.02,120.60,0.2498,-66.09,457017,2667
Threshold-1pct-5d,353.99,119.84,0.2836,-73.30,453994,4461
TopK-K3-3d,257.27,94.05,0.1078,-79.86,357268,2589
RiskParity-VL30-14d,250.58,92.15,0.2624,-60.78,350579,4317
TopK-K10-14d,248.76,91.63,0.3092,-57.23,348763,8448
TopK-K10-5d,245.44,90.68,0.3014,-64.09,345439,8708
RiskParity-VL20-5d,242.05,89.70,0.2072,-72.17,342048,4364
TopK-K10-20d,216.04,82.05,0.2574,-63.37,316038,8287
TopK-K10-3d,194.56,75.50,0.2314,-53.83,294561,8360
TopK-K3-20d,183.10,71.91,0.1265,-74.96,283103,2700
TopK-K3-1d,173.63,68.89,0.0973,-74.91,273631,2546
StopLoss-3pct-1d,171.82,68.31,0.1885,-53.57,271816,12287
TopK-K10-7d,161.52,64.96,0.1716,-72.04,261518,8556
Momentum-LB5-1d,156.10,63.17,0.1322,-66.95,256096,4172
Confidence-MC5bp-1d,154.31,62.58,0.1318,-67.21,254314,4163
TopK-K3-7d,145.16,59.51,0.0848,-80.34,245164,2718
Threshold-0pct-1d,138.92,57.38,0.1400,-69.28,238920,4301
TopK-K10-1d,121.96,51.46,0.1431,-54.79,221958,7794
RiskParity-VL10-1d,101.49,44.02,0.0721,-71.12,201490,4155
StopLoss-8pct-1d,95.22,-69.76,-0.0182,-235.84,195219,63069
